cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_extorsion,total_homicidio,total_hurto,total_terrorismo,incautaciones_total,cantidad_total_kg,poblacion_total
05,ANTIOQUIA,05001,MEDELLIN,2003,1,23,210.0,99.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,2,15,167.0,87.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,3,9,199.0,127.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,4,11,195.0,142.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,5,9,181.0,174.0,2.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,6,7,163.0,149.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,7,13,151.0,210.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,8,12,128.0,221.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,9,7,163.0,213.0,4.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,10,11,126.0,238.0,3.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,11,17,124.0,245.0,4.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2003,12,11,117.0,197.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,1,15,97.0,322.0,2.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,2,12,94.0,205.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,3,8,89.0,155.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,4,14,93.0,171.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,5,7,103.0,182.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,6,7,109.0,190.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,7,7,84.0,210.0,2.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,8,12,86.0,173.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,9,9,65.0,206.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,10,5,100.0,176.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,11,6,75.0,141.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2004,12,3,61.0,178.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,1,5,62.0,182.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,2,5,58.0,231.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,3,8,51.0,207.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,4,2,57.0,167.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,5,7,49.0,219.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,6,3,64.0,266.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,7,12,72.0,339.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,8,5,72.0,346.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,9,3,69.0,313.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,10,5,60.0,246.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,11,5,70.0,335.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2005,12,10,53.0,315.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,1,1,62.0,204.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,2,5,57.0,154.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,3,10,55.0,212.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,4,6,55.0,138.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,5,9,43.0,173.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,6,4,64.0,141.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,7,8,65.0,109.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,8,4,63.0,145.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,9,4,53.0,138.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,10,4,61.0,112.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,11,2,45.0,131.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2006,12,5,62.0,108.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,1,6,60.0,61.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,3,3,45.0,145.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,4,6,44.0,104.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,5,6,49.0,132.0,2.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,6,4,58.0,112.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,7,2,51.0,110.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,8,6,50.0,143.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,9,8,60.0,86.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,10,4,56.0,126.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2007,12,5,63.0,135.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,1,3,80.0,136.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,2,4,53.0,147.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,3,4,68.0,156.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,4,3,66.0,182.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,5,4,58.0,158.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,6,2,73.0,191.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,7,7,79.0,237.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,8,6,73.0,167.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,9,2,75.0,180.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,10,2,82.0,198.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,11,2,75.0,179.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2008,12,4,73.0,195.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,1,10,75.0,221.0,2.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,2,11,69.0,160.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,3,16,79.0,141.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,4,8,145.0,137.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,5,11,104.0,125.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,6,5,99.0,46.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,7,10,119.0,113.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,8,5,141.0,163.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,9,14,125.0,194.0,,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,10,11,201.0,148.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,11,7,143.0,121.0,1.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2009,12,7,116.0,177.0,2.0,,,
05,ANTIOQUIA,05001,MEDELLIN,2010,1,25,112.0,141.0,1.0,844.0,729569.34,
05,ANTIOQUIA,05001,MEDELLIN,2010,2,16,67.0,175.0,1.0,965.0,1201978.7,
05,ANTIOQUIA,05001,MEDELLIN,2010,3,21,78.0,132.0,,692.0,299361.2,
05,ANTIOQUIA,05001,MEDELLIN,2010,4,15,109.0,76.0,2.0,400.0,970659.4,
05,ANTIOQUIA,05001,MEDELLIN,2010,5,9,145.0,126.0,,611.0,223310.3,
05,ANTIOQUIA,05001,MEDELLIN,2010,6,16,115.0,106.0,,720.0,410856.2,
05,ANTIOQUIA,05001,MEDELLIN,2010,7,12,128.0,97.0,1.0,862.0,636266.2,
05,ANTIOQUIA,05001,MEDELLIN,2010,8,15,159.0,103.0,,925.0,240148.2,
05,ANTIOQUIA,05001,MEDELLIN,2010,9,7,113.0,104.0,,995.0,161505.38,
05,ANTIOQUIA,05001,MEDELLIN,2010,10,6,130.0,108.0,,858.0,170138.3,
05,ANTIOQUIA,05001,MEDELLIN,2010,11,7,110.0,119.0,,715.0,175428.1,
05,ANTIOQUIA,05001,MEDELLIN,2010,12,4,112.0,96.0,,372.0,341774.2,
05,ANTIOQUIA,05001,MEDELLIN,2011,1,13,157.0,115.0,,777.0,210746.1,
05,ANTIOQUIA,05001,MEDELLIN,2011,2,10,131.0,142.0,,864.0,11574177.9,
05,ANTIOQUIA,05001,MEDELLIN,2011,3,9,152.0,179.0,,994.0,392981.3,
