cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_extorsion,total_homicidio,total_hurto,total_terrorismo,incautaciones_total,cantidad_total_kg,poblacion_total
05,ANTIOQUIA,05001,MEDELLIN,2020,1,25,27.0,2520.0,0.0,1061.0,329681.7,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,2,35,44.0,1946.0,1.0,956.0,156518.3,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,3,23,23.0,1281.0,0.0,691.0,208435.80000000002,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,4,21,21.0,501.0,0.0,50.0,40489.0,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,5,25,42.0,924.0,0.0,90.0,507249.1,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,6,34,32.0,1170.0,0.0,182.0,42744.33,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,7,36,26.0,1323.0,0.0,251.0,129419.5,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,8,30,38.0,1370.0,0.0,316.0,77362.4,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,9,62,33.0,1580.0,1.0,408.0,69680.2,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,10,63,27.0,1619.0,0.0,475.0,61254.8,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,11,126,25.0,1656.0,1.0,351.0,99223.8,2519592
05,ANTIOQUIA,05001,MEDELLIN,2020,12,154,28.0,1886.0,0.0,242.0,506941.0,2519592
05,ANTIOQUIA,05001,MEDELLIN,2021,1,34,35.0,1452.0,0.0,654.0,375938.2,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,2,22,26.0,1542.0,0.0,789.0,182511.4,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,3,35,31.0,1897.0,0.0,704.0,189828.06,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,4,24,38.0,1403.0,8.0,361.0,88891.25,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,5,38,37.0,1752.0,8.0,280.0,62580.9,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,6,63,43.0,1940.0,5.0,512.0,59770.12,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,7,79,27.0,2058.0,2.0,562.0,67235.5,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,8,59,29.0,2320.0,1.0,588.0,794004.0,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,9,63,27.0,2073.0,0.0,571.0,246682.16999999998,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,10,60,29.0,2499.0,0.0,508.0,108841.2,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,11,83,26.0,2386.0,1.0,367.0,95589.2,2549008
05,ANTIOQUIA,05001,MEDELLIN,2021,12,76,43.0,2381.0,1.0,282.0,41056.8,2549008
05,ANTIOQUIA,05001,MEDELLIN,2022,1,19,25.0,2079.0,0.0,924.0,180216.5,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,2,28,29.0,2345.0,0.0,889.0,302053.14,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,3,30,35.0,2682.0,0.0,835.0,202942.55,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,4,26,29.0,2536.0,1.0,411.0,198012.7,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,5,45,34.0,2172.0,2.0,614.0,243710.80000000002,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,6,65,34.0,1825.0,0.0,760.0,759650.37,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,7,44,31.0,1876.0,1.0,755.0,207389.11000000002,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,8,66,22.0,2546.0,0.0,539.0,66243.31,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,9,60,28.0,2573.0,1.0,643.0,139500.07,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,10,82,30.0,2753.0,0.0,729.0,159633.73,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,11,75,33.0,2734.0,2.0,680.0,194364.3,2572350
05,ANTIOQUIA,05001,MEDELLIN,2022,12,131,28.0,2612.0,0.0,334.0,118114.1,2572350
05,ANTIOQUIA,05001,MEDELLIN,2023,1,83,28.0,2461.0,0.0,1108.0,174632.49,2595300
05,ANTIOQUIA,05001,MEDELLIN,2023,2,76,27.0,2524.0,0.0,1119.0,280729.1,2595300
05,ANTIOQUIA,05001,MEDELLIN,2023,3,102,37.0,2684.0,0.0,1036.0,1315733.3,2595300
05,ANTIOQUIA,05001,MEDELLIN,2023,4,97,25.0,2805.0,0.0,477.0,103748.7,2595300
05,ANTIOQUIA,05001,MEDELLIN,2023,5,97,24.0,3103.0,0.0,666.0,550192.7,2595300
05,ANTIOQUIA,05001,MEDELLIN,2023,6,43,29.0,2867.0,0.0,609.0,2009389.6,2595300
05,ANTIOQUIA,05001,MEDELLIN,2023,7,63,32.0,2539.0,0.0,872.0,202477.3,2595300
