cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_extorsion
05,ANTIOQUIA,05001,MEDELLIN,2003,1,23
05,ANTIOQUIA,05001,MEDELLIN,2003,2,15
05,ANTIOQUIA,05001,MEDELLIN,2003,3,9
05,ANTIOQUIA,05001,MEDELLIN,2003,4,11
05,ANTIOQUIA,05001,MEDELLIN,2003,5,9
05,ANTIOQUIA,05001,MEDELLIN,2003,6,7
05,ANTIOQUIA,05001,MEDELLIN,2003,7,13
05,ANTIOQUIA,05001,MEDELLIN,2003,8,12
05,ANTIOQUIA,05001,MEDELLIN,2003,9,7
05,ANTIOQUIA,05001,MEDELLIN,2003,10,11
05,ANTIOQUIA,05001,MEDELLIN,2003,11,17
05,ANTIOQUIA,05001,MEDELLIN,2003,12,11
05,ANTIOQUIA,05001,MEDELLIN,2004,1,15
05,ANTIOQUIA,05001,MEDELLIN,2004,2,12
05,ANTIOQUIA,05001,MEDELLIN,2004,3,8
05,ANTIOQUIA,05001,MEDELLIN,2004,4,14
05,ANTIOQUIA,05001,MEDELLIN,2004,5,7
05,ANTIOQUIA,05001,MEDELLIN,2004,6,7
05,ANTIOQUIA,05001,MEDELLIN,2004,7,7
05,ANTIOQUIA,05001,MEDELLIN,2004,8,12
05,ANTIOQUIA,05001,MEDELLIN,2004,9,9
05,ANTIOQUIA,05001,MEDELLIN,2004,10,5
05,ANTIOQUIA,05001,MEDELLIN,2004,11,6
05,ANTIOQUIA,05001,MEDELLIN,2004,12,3
05,ANTIOQUIA,05001,MEDELLIN,2005,1,5
05,ANTIOQUIA,05001,MEDELLIN,2005,2,5
05,ANTIOQUIA,05001,MEDELLIN,2005,3,8
05,ANTIOQUIA,05001,MEDELLIN,2005,4,2
05,ANTIOQUIA,05001,MEDELLIN,2005,5,7
05,ANTIOQUIA,05001,MEDELLIN,2005,6,3
05,ANTIOQUIA,05001,MEDELLIN,2005,7,12
05,ANTIOQUIA,05001,MEDELLIN,2005,8,5
05,ANTIOQUIA,05001,MEDELLIN,2005,9,3
05,ANTIOQUIA,05001,MEDELLIN,2005,10,5
05,ANTIOQUIA,05001,MEDELLIN,2005,11,5
05,ANTIOQUIA,05001,MEDELLIN,2005,12,10
05,ANTIOQUIA,05001,MEDELLIN,2006,1,1
05,ANTIOQUIA,05001,MEDELLIN,2006,2,5
05,ANTIOQUIA,05001,MEDELLIN,2006,3,10
05,ANTIOQUIA,05001,MEDELLIN,2006,4,6
05,ANTIOQUIA,05001,MEDELLIN,2006,5,9
05,ANTIOQUIA,05001,MEDELLIN,2006,6,4
05,ANTIOQUIA,05001,MEDELLIN,2006,7,8
05,ANTIOQUIA,05001,MEDELLIN,2006,8,4
05,ANTIOQUIA,05001,MEDELLIN,2006,9,4
05,ANTIOQUIA,05001,MEDELLIN,2006,10,4
05,ANTIOQUIA,05001,MEDELLIN,2006,11,2
05,ANTIOQUIA,05001,MEDELLIN,2006,12,5
05,ANTIOQUIA,05001,MEDELLIN,2007,1,6
05,ANTIOQUIA,05001,MEDELLIN,2007,3,3
05,ANTIOQUIA,05001,MEDELLIN,2007,4,6
05,ANTIOQUIA,05001,MEDELLIN,2007,5,6
05,ANTIOQUIA,05001,MEDELLIN,2007,6,4
05,ANTIOQUIA,05001,MEDELLIN,2007,7,2
05,ANTIOQUIA,05001,MEDELLIN,2007,8,6
05,ANTIOQUIA,05001,MEDELLIN,2007,9,8
05,ANTIOQUIA,05001,MEDELLIN,2007,10,4
05,ANTIOQUIA,05001,MEDELLIN,2007,12,5
05,ANTIOQUIA,05001,MEDELLIN,2008,1,3
05,ANTIOQUIA,05001,MEDELLIN,2008,2,4
05,ANTIOQUIA,05001,MEDELLIN,2008,3,4
05,ANTIOQUIA,05001,MEDELLIN,2008,4,3
05,ANTIOQUIA,05001,MEDELLIN,2008,5,4
05,ANTIOQUIA,05001,MEDELLIN,2008,6,2
05,ANTIOQUIA,05001,MEDELLIN,2008,7,7
