cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_homicidio
05,ANTIOQUIA,05001,MEDELLIN,2003,1,210
05,ANTIOQUIA,05001,MEDELLIN,2003,2,167
05,ANTIOQUIA,05001,MEDELLIN,2003,3,199
05,ANTIOQUIA,05001,MEDELLIN,2003,4,195
05,ANTIOQUIA,05001,MEDELLIN,2003,5,181
05,ANTIOQUIA,05001,MEDELLIN,2003,6,163
05,ANTIOQUIA,05001,MEDELLIN,2003,7,151
05,ANTIOQUIA,05001,MEDELLIN,2003,8,128
05,ANTIOQUIA,05001,MEDELLIN,2003,9,163
05,ANTIOQUIA,05001,MEDELLIN,2003,10,126
05,ANTIOQUIA,05001,MEDELLIN,2003,11,124
05,ANTIOQUIA,05001,MEDELLIN,2003,12,117
05,ANTIOQUIA,05001,MEDELLIN,2004,1,97
05,ANTIOQUIA,05001,MEDELLIN,2004,2,94
05,ANTIOQUIA,05001,MEDELLIN,2004,3,89
05,ANTIOQUIA,05001,MEDELLIN,2004,4,93
05,ANTIOQUIA,05001,MEDELLIN,2004,5,103
05,ANTIOQUIA,05001,MEDELLIN,2004,6,109
05,ANTIOQUIA,05001,MEDELLIN,2004,7,84
05,ANTIOQUIA,05001,MEDELLIN,2004,8,86
05,ANTIOQUIA,05001,MEDELLIN,2004,9,65
05,ANTIOQUIA,05001,MEDELLIN,2004,10,100
05,ANTIOQUIA,05001,MEDELLIN,2004,11,75
05,ANTIOQUIA,05001,MEDELLIN,2004,12,61
05,ANTIOQUIA,05001,MEDELLIN,2005,1,62
05,ANTIOQUIA,05001,MEDELLIN,2005,2,58
05,ANTIOQUIA,05001,MEDELLIN,2005,3,51
05,ANTIOQUIA,05001,MEDELLIN,2005,4,57
05,ANTIOQUIA,05001,MEDELLIN,2005,5,49
05,ANTIOQUIA,05001,MEDELLIN,2005,6,64
05,ANTIOQUIA,05001,MEDELLIN,2005,7,72
05,ANTIOQUIA,05001,MEDELLIN,2005,8,72
05,ANTIOQUIA,05001,MEDELLIN,2005,9,69
05,ANTIOQUIA,05001,MEDELLIN,2005,10,60
05,ANTIOQUIA,05001,MEDELLIN,2005,11,70
05,ANTIOQUIA,05001,MEDELLIN,2005,12,53
05,ANTIOQUIA,05001,MEDELLIN,2006,1,62
05,ANTIOQUIA,05001,MEDELLIN,2006,2,57
05,ANTIOQUIA,05001,MEDELLIN,2006,3,55
05,ANTIOQUIA,05001,MEDELLIN,2006,4,55
05,ANTIOQUIA,05001,MEDELLIN,2006,5,43
05,ANTIOQUIA,05001,MEDELLIN,2006,6,64
05,ANTIOQUIA,05001,MEDELLIN,2006,7,65
05,ANTIOQUIA,05001,MEDELLIN,2006,8,63
05,ANTIOQUIA,05001,MEDELLIN,2006,9,53
05,ANTIOQUIA,05001,MEDELLIN,2006,10,61
05,ANTIOQUIA,05001,MEDELLIN,2006,11,45
05,ANTIOQUIA,05001,MEDELLIN,2006,12,62
05,ANTIOQUIA,05001,MEDELLIN,2007,1,60
05,ANTIOQUIA,05001,MEDELLIN,2007,2,49
05,ANTIOQUIA,05001,MEDELLIN,2007,3,45
05,ANTIOQUIA,05001,MEDELLIN,2007,4,44
05,ANTIOQUIA,05001,MEDELLIN,2007,5,49
05,ANTIOQUIA,05001,MEDELLIN,2007,6,58
05,ANTIOQUIA,05001,MEDELLIN,2007,7,51
05,ANTIOQUIA,05001,MEDELLIN,2007,8,50
05,ANTIOQUIA,05001,MEDELLIN,2007,9,60
05,ANTIOQUIA,05001,MEDELLIN,2007,10,56
05,ANTIOQUIA,05001,MEDELLIN,2007,11,67
05,ANTIOQUIA,05001,MEDELLIN,2007,12,63
05,ANTIOQUIA,05001,MEDELLIN,2008,1,80
05,ANTIOQUIA,05001,MEDELLIN,2008,2,53
05,ANTIOQUIA,05001,MEDELLIN,2008,3,68
05,ANTIOQUIA,05001,MEDELLIN,2008,4,66
05,ANTIOQUIA,05001,MEDELLIN,2008,5,58
05,ANTIOQUIA,05001,MEDELLIN,2008,6,73
05,ANTIOQUIA,05001,MEDELLIN,2008,7,79
05,ANTIOQUIA,05001,MEDELLIN,2008,8,73
05,ANTIOQUIA,05001,MEDELLIN,2008,9,75
05,ANTIOQUIA,05001,MEDELLIN,2008,10,82
05,ANTIOQUIA,05001,MEDELLIN,2008,11,75
05,ANTIOQUIA,05001,MEDELLIN,2008,12,73
05,ANTIOQUIA,05001,MEDELLIN,2009,1,75
05,ANTIOQUIA,05001,MEDELLIN,2009,2,69
05,ANTIOQUIA,05001,MEDELLIN,2009,3,79
05,ANTIOQUIA,05001,MEDELLIN,2009,4,145
05,ANTIOQUIA,05001,MEDELLIN,2009,5,104
05,ANTIOQUIA,05001,MEDELLIN,2009,6,99
05,ANTIOQUIA,05001,MEDELLIN,2009,7,119
05,ANTIOQUIA,05001,MEDELLIN,2009,8,141
05,ANTIOQUIA,05001,MEDELLIN,2009,9,125
05,ANTIOQUIA,05001,MEDELLIN,2009,10,201
05,ANTIOQUIA,05001,MEDELLIN,2009,11,143
05,ANTIOQUIA,05001,MEDELLIN,2009,12,116
05,ANTIOQUIA,05001,MEDELLIN,2010,1,112
05,ANTIOQUIA,05001,MEDELLIN,2010,2,67
05,ANTIOQUIA,05001,MEDELLIN,2010,3,78
05,ANTIOQUIA,05001,MEDELLIN,2010,4,109
05,ANTIOQUIA,05001,MEDELLIN,2010,5,145
05,ANTIOQUIA,05001,MEDELLIN,2010,6,115
05,ANTIOQUIA,05001,MEDELLIN,2010,7,128
05,ANTIOQUIA,05001,MEDELLIN,2010,8,159
05,ANTIOQUIA,05001,MEDELLIN,2010,9,113
05,ANTIOQUIA,05001,MEDELLIN,2010,10,130
05,ANTIOQUIA,05001,MEDELLIN,2010,11,110
05,ANTIOQUIA,05001,MEDELLIN,2010,12,112
05,ANTIOQUIA,05001,MEDELLIN,2011,1,157
05,ANTIOQUIA,05001,MEDELLIN,2011,2,131
05,ANTIOQUIA,05001,MEDELLIN,2011,3,152
05,ANTIOQUIA,05001,MEDELLIN,2011,4,172
05,ANTIOQUIA,05001,MEDELLIN,2011,5,148
05,ANTIOQUIA,05001,MEDELLIN,2011,6,125
05,ANTIOQUIA,05001,MEDELLIN,2011,7,125
05,ANTIOQUIA,05001,MEDELLIN,2011,8,131
05,ANTIOQUIA,05001,MEDELLIN,2011,9,87
05,ANTIOQUIA,05001,MEDELLIN,2011,10,86
05,ANTIOQUIA,05001,MEDELLIN,2011,11,110
05,ANTIOQUIA,05001,MEDELLIN,2011,12,112
05,ANTIOQUIA,05001,MEDELLIN,2012,1,68
05,ANTIOQUIA,05001,MEDELLIN,2012,2,90
05,ANTIOQUIA,05001,MEDELLIN,2012,3,94
05,ANTIOQUIA,05001,MEDELLIN,2012,4,93
05,ANTIOQUIA,05001,MEDELLIN,2012,5,102
05,ANTIOQUIA,05001,MEDELLIN,2012,6,122
05,ANTIOQUIA,05001,MEDELLIN,2012,7,106
05,ANTIOQUIA,05001,MEDELLIN,2012,8,100
05,ANTIOQUIA,05001,MEDELLIN,2012,9,115
05,ANTIOQUIA,05001,MEDELLIN,2012,10,121
05,ANTIOQUIA,05001,MEDELLIN,2012,11,113
05,ANTIOQUIA,05001,MEDELLIN,2012,12,105
05,ANTIOQUIA,05001,MEDELLIN,2013,1,87
05,ANTIOQUIA,05001,MEDELLIN,2013,2,96
05,ANTIOQUIA,05001,MEDELLIN,2013,3,102
05,ANTIOQUIA,05001,MEDELLIN,2013,4,84
05,ANTIOQUIA,05001,MEDELLIN,2013,5,91
05,ANTIOQUIA,05001,MEDELLIN,2013,6,84
05,ANTIOQUIA,05001,MEDELLIN,2013,7,58
05,ANTIOQUIA,05001,MEDELLIN,2013,8,69
05,ANTIOQUIA,05001,MEDELLIN,2013,9,61
05,ANTIOQUIA,05001,MEDELLIN,2013,10,44
05,ANTIOQUIA,05001,MEDELLIN,2013,11,58
