cod_dpto,dpto_nombre,ano,pib_total,poblacion_total,pib_per_capita
05,Antioquia,2005,126955.31,,
05,Antioquia,2006,138385.05,,
05,Antioquia,2007,151345.68,,
05,Antioquia,2008,156349.51,,
05,Antioquia,2009,158371.68,,
05,Antioquia,2010,166484.06,,
05,Antioquia,2011,183418.46,,
05,Antioquia,2012,193984.56,,
05,Antioquia,2013,203779.19,,
05,Antioquia,2014,218023.13999999998,,
05,Antioquia,2015,230892.48,,
05,Antioquia,2016,245068.05000000002,,
05,Antioquia,2017,253342.79,,
05,Antioquia,2018,266857.2,,
05,Antioquia,2019,283166.7,,
05,Antioquia,2020,269162.8,6649401,40479255.2
05,Antioquia,2021,314400.44,6726219,46742522.06
05,Antioquia,2022,358448.79,6787846,52807442.89
05,Antioquia,2023,377179.17,6848360,55075838.59
08,Atlántico,2005,36210.73,,
08,Atlántico,2006,39806.0,,
08,Atlántico,2007,44768.88,,
08,Atlántico,2008,46820.52,,
08,Atlántico,2009,47998.93,,
08,Atlántico,2010,48535.47,,
08,Atlántico,2011,52151.270000000004,,
08,Atlántico,2012,56858.04,,
08,Atlántico,2013,61073.52,,
08,Atlántico,2014,66232.03,,
08,Atlántico,2015,71432.58,,
08,Atlántico,2016,74922.71,,
08,Atlántico,2017,77659.18,,
08,Atlántico,2018,80953.65,,
08,Atlántico,2019,85198.09,,
08,Atlántico,2020,80942.98,2693665,30049386.25
08,Atlántico,2021,93272.89,2741002,34028756.64
08,Atlántico,2022,108024.58,2774958,38928365.76
08,Atlántico,2023,114891.09,2803565,40980355.37
11,Bogotá D.C.,2005,225062.68,,
11,Bogotá D.C.,2006,244539.26,,
11,Bogotá D.C.,2007,265611.39,,
11,Bogotá D.C.,2008,279895.11,,
11,Bogotá D.C.,2009,291590.09,,
11,Bogotá D.C.,2010,306870.17,,
11,Bogotá D.C.,2011,329178.15,,
11,Bogotá D.C.,2012,347641.29,,
11,Bogotá D.C.,2013,367884.25,,
11,Bogotá D.C.,2014,390267.85,,
11,Bogotá D.C.,2015,412956.8,,
11,Bogotá D.C.,2016,432138.53,,
11,Bogotá D.C.,2017,451292.04,,
11,Bogotá D.C.,2018,475533.55,,
11,Bogotá D.C.,2019,502644.39,,
11,Bogotá D.C.,2020,474509.56,7732161,61368297.94
11,Bogotá D.C.,2021,540301.04,7823334,69062760.2
11,Bogotá D.C.,2022,621265.15,7873316,78907686.42
11,Bogotá D.C.,2023,654906.55,7907281,82823229.63
13,Bolívar,2005,29928.71,,
13,Bolívar,2006,32847.98,,
13,Bolívar,2007,36256.54,,
13,Bolívar,2008,37957.36,,
13,Bolívar,2009,38474.17,,
13,Bolívar,2010,41350.88,,
13,Bolívar,2011,46239.54,,
13,Bolívar,2012,48657.32,,
13,Bolívar,2013,53723.79,,
13,Bolívar,2014,54421.73,,
13,Bolívar,2015,56210.4,,
13,Bolívar,2016,60202.520000000004,,
13,Bolívar,2017,63661.81,,
13,Bolívar,2018,66215.01,,
13,Bolívar,2019,70204.21,,
13,Bolívar,2020,63215.229999999996,2169294,29140923.27
13,Bolívar,2021,74939.01,2202773,34020305.32
13,Bolívar,2022,87242.88,2227184,39171833.13
13,Bolívar,2023,92494.26,2247283,41158260.89
15,Boyacá,2005,21506.4,,
15,Boyacá,2006,23137.36,,
15,Boyacá,2007,26503.06,,
15,Boyacá,2008,29359.92,,
15,Boyacá,2009,30027.63,,
15,Boyacá,2010,31913.35,,
15,Boyacá,2011,36362.18,,
15,Boyacá,2012,37946.25,,
15,Boyacá,2013,39521.21,,
15,Boyacá,2014,41859.55,,
15,Boyacá,2015,44329.380000000005,,
15,Boyacá,2016,46012.38,,
15,Boyacá,2017,47294.36,,
15,Boyacá,2018,50052.6,,
15,Boyacá,2019,52243.02,,
15,Boyacá,2020,47898.41,1257289,38096579.23
15,Boyacá,2021,54329.14,1271639,42723713.26
15,Boyacá,2022,63889.32,1285035,49717960.99
15,Boyacá,2023,66486.56,1298800,51190760.7
17,Caldas,2005,15651.52,,
17,Caldas,2006,17261.62,,
17,Caldas,2007,18498.42,,
17,Caldas,2008,19203.12,,
17,Caldas,2009,18915.670000000002,,
17,Caldas,2010,19580.94,,
17,Caldas,2011,20135.66,,
17,Caldas,2012,20647.26,,
17,Caldas,2013,22022.56,,
17,Caldas,2014,23626.69,,
17,Caldas,2015,25027.0,,
17,Caldas,2016,26619.37,,
17,Caldas,2017,27792.73,,
17,Caldas,2018,29106.15,,
17,Caldas,2019,30809.6,,
17,Caldas,2020,29742.4,1021435,29118250.3
17,Caldas,2021,34066.54,1028635,33118200.33
17,Caldas,2022,39366.36,1034151,38066355.88
17,Caldas,2023,41425.71,1040284,39821539.12
18,Caquetá,2005,3382.38,,
18,Caquetá,2006,3568.9700000000003,,
18,Caquetá,2007,3914.65,,
18,Caquetá,2008,4231.44,,
18,Caquetá,2009,4498.88,,
18,Caquetá,2010,4567.53,,
18,Caquetá,2011,4853.0,,
18,Caquetá,2012,5557.53,,
18,Caquetá,2013,6005.54,,
18,Caquetá,2014,6498.07,,
18,Caquetá,2015,6699.780000000001,,
18,Caquetá,2016,7092.5,,
18,Caquetá,2017,7320.5,,
18,Caquetá,2018,7597.36,,
18,Caquetá,2019,7911.66,,
18,Caquetá,2020,7560.95,413688,18276938.18
18,Caquetá,2021,8448.5,418267,20198820.37
18,Caquetá,2022,9334.85,421797,22131143.65
18,Caquetá,2023,9992.039999999999,425053,23507750.8
19,Cauca,2005,13635.720000000001,,
19,Cauca,2006,14803.99,,
19,Cauca,2007,15773.65,,
19,Cauca,2008,17134.56,,
19,Cauca,2009,17742.28,,
19,Cauca,2010,19235.35,,
19,Cauca,2011,20436.57,,
19,Cauca,2012,22437.73,,
19,Cauca,2013,24915.81,,
19,Cauca,2014,26982.71,,
19,Cauca,2015,29244.1,,
19,Cauca,2016,31045.45,,
19,Cauca,2017,31623.31,,
19,Cauca,2018,32626.75,,
19,Cauca,2019,34372.23,,
19,Cauca,2020,32841.29,1508061,21777162.86
19,Cauca,2021,37497.1,1525284,24583684.09
19,Cauca,2022,43177.72,1541265,28014468.63
19,Cauca,2023,45279.42,1558045,29061689.49
20,Cesar,2005,15624.119999999999,,
20,Cesar,2006,17275.89,,
20,Cesar,2007,18487.83,,
20,Cesar,2008,20718.19,,
20,Cesar,2009,21579.81,,
20,Cesar,2010,22577.06,,
20,Cesar,2011,26084.99,,
20,Cesar,2012,27662.66,,
20,Cesar,2013,27007.13,,
20,Cesar,2014,28038.379999999997,,
20,Cesar,2015,29140.82,,
20,Cesar,2016,32668.4,,
20,Cesar,2017,35667.74,,
20,Cesar,2018,37388.18,,
20,Cesar,2019,37405.5,,
20,Cesar,2020,32070.870000000003,1290919,24843440.99
20,Cesar,2021,38154.49,1322378,28852937.66
20,Cesar,2022,53898.0,1349162,39949242.57
20,Cesar,2023,48724.04,1373581,35472272.84
23,Córdoba,2005,15848.67,,
23,Córdoba,2006,17065.7,,
23,Córdoba,2007,19541.65,,
23,Córdoba,2008,19248.35,,
23,Córdoba,2009,19452.14,,
23,Córdoba,2010,20313.670000000002,,
23,Córdoba,2011,21574.83,,
23,Córdoba,2012,23340.39,,
23,Córdoba,2013,24800.38,,
23,Córdoba,2014,26591.83,,
23,Córdoba,2015,27313.08,,
23,Córdoba,2016,28392.99,,
23,Córdoba,2017,29714.170000000002,,
23,Córdoba,2018,31013.9,,
23,Córdoba,2019,33067.94,,
23,Córdoba,2020,31811.800000000003,1842585,17264766.62
23,Córdoba,2021,36614.83,1864336,19639608.95
23,Córdoba,2022,42039.18,1882211,22334998.57
23,Córdoba,2023,44325.05,1898911,23342352.54
25,Cundinamarca,2005,49793.83,,
25,Cundinamarca,2006,53006.34,,
25,Cundinamarca,2007,58362.06,,
25,Cundinamarca,2008,63852.97,,
25,Cundinamarca,2009,65968.48,,
25,Cundinamarca,2010,70144.51,,
25,Cundinamarca,2011,77212.77,,
25,Cundinamarca,2012,81433.88,,
25,Cundinamarca,2013,85587.74,,
25,Cundinamarca,2014,90025.69,,
25,Cundinamarca,2015,96110.24,,
25,Cundinamarca,2016,103116.51,,
25,Cundinamarca,2017,106130.8,,
25,Cundinamarca,2018,110632.92,,
25,Cundinamarca,2019,115994.17,,
25,Cundinamarca,2020,110916.61,3147954,35234507.87
25,Cundinamarca,2021,128596.49,3233689,39767735.86
25,Cundinamarca,2022,151385.53,3334637,45397903.88
25,Cundinamarca,2023,159176.11000000002,3445327,46200581.25
27,Chocó,2005,3646.37,,
27,Chocó,2006,3803.12,,
27,Chocó,2007,3969.85,,
27,Chocó,2008,4280.79,,
27,Chocó,2009,5220.29,,
27,Chocó,2010,6860.66,,
27,Chocó,2011,7862.58,,
27,Chocó,2012,7599.86,,
27,Chocó,2013,6695.15,,
27,Chocó,2014,6614.92,,
27,Chocó,2015,7141.26,,
27,Chocó,2016,7986.88,,
27,Chocó,2017,7472.56,,
27,Chocó,2018,7018.92,,
27,Chocó,2019,7550.58,,
27,Chocó,2020,7799.49,562387,13868546.04
27,Chocó,2021,8796.05,573848,15328187.95
27,Chocó,2022,9795.29,584521,16757806.82
27,Chocó,2023,10565.26,595138,17752622.08
41,Huila,2005,15537.949999999999,,
41,Huila,2006,16063.18,,
41,Huila,2007,17278.25,,
41,Huila,2008,19063.37,,
41,Huila,2009,19290.86,,
41,Huila,2010,20878.44,,
41,Huila,2011,23398.33,,
41,Huila,2012,24262.97,,
41,Huila,2013,25603.53,,
41,Huila,2014,27271.18,,
41,Huila,2015,27610.66,,
41,Huila,2016,28329.15,,
41,Huila,2017,28486.37,,
41,Huila,2018,29446.04,,
41,Huila,2019,31054.28,,
41,Huila,2020,29864.28,1136911,26267913.67
41,Huila,2021,34059.79,1151211,29586053.3
41,Huila,2022,39437.68,1164463,33867696.96
41,Huila,2023,41424.29,1178453,35151414.61
44,La Guajira,2005,10259.44,,
44,La Guajira,2006,11245.800000000001,,
44,La Guajira,2007,11831.44,,
44,La Guajira,2008,13693.439999999999,,
44,La Guajira,2009,14115.94,,
44,La Guajira,2010,14352.98,,
44,La Guajira,2011,15948.08,,
44,La Guajira,2012,16781.93,,
44,La Guajira,2013,16644.49,,
44,La Guajira,2014,17081.66,,
44,La Guajira,2015,17331.62,,
44,La Guajira,2016,18333.61,,
