cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,poblacion_rural,poblacion_total,poblacion_urbana
05,Antioquia,05001,Medellín,2020,43023,2519592,2476569
05,Antioquia,05001,Medellín,2021,42352,2549008,2506656
05,Antioquia,05001,Medellín,2022,41952,2572350,2530398
05,Antioquia,05001,Medellín,2023,41679,2595300,2553621
05,Antioquia,05001,Medellín,2024,41341,2616335,2574994
05,Antioquia,05001,Medellín,2025,41028,2634570,2593542
05,Antioquia,05001,Medellín,2026,40821,2650662,2609841
05,Antioquia,05001,Medellín,2027,40691,2665474,2624783
05,Antioquia,05001,Medellín,2028,40642,2679376,2638734
05,Antioquia,05001,Medellín,2029,40725,2692600,2651875
05,Antioquia,05001,Medellín,2030,40908,2705382,2664474
05,Antioquia,05001,Medellín,2031,41139,2717720,2676581
05,Antioquia,05001,Medellín,2032,41392,2729504,2688112
05,Antioquia,05001,Medellín,2033,41626,2740613,2698987
05,Antioquia,05001,Medellín,2034,41864,2751052,2709188
05,Antioquia,05001,Medellín,2035,42096,2760854,2718758
05,Antioquia,05002,Abejorral,2020,12704,20823,8119
05,Antioquia,05002,Abejorral,2021,12425,20924,8499
05,Antioquia,05002,Abejorral,2022,12310,21109,8799
05,Antioquia,05002,Abejorral,2023,12225,21297,9072
05,Antioquia,05002,Abejorral,2024,12220,21468,9248
05,Antioquia,05002,Abejorral,2025,12253,21622,9369
05,Antioquia,05002,Abejorral,2026,12252,21751,9499
05,Antioquia,05002,Abejorral,2027,12274,21877,9603
05,Antioquia,05002,Abejorral,2028,12296,21975,9679
05,Antioquia,05002,Abejorral,2029,12351,22094,9743
05,Antioquia,05002,Abejorral,2030,12404,22202,9798
05,Antioquia,05002,Abejorral,2031,12461,22295,9834
05,Antioquia,05002,Abejorral,2032,12522,22402,9880
05,Antioquia,05002,Abejorral,2033,12586,22491,9905
05,Antioquia,05002,Abejorral,2034,12659,22584,9925
05,Antioquia,05002,Abejorral,2035,12705,22665,9960
05,Antioquia,05004,Abriaquí,2020,1916,2775,859
05,Antioquia,05004,Abriaquí,2021,1873,2777,904
05,Antioquia,05004,Abriaquí,2022,1856,2804,948
05,Antioquia,05004,Abriaquí,2023,1849,2841,992
05,Antioquia,05004,Abriaquí,2024,1856,2855,999
05,Antioquia,05004,Abriaquí,2025,1843,2872,1029
05,Antioquia,05004,Abriaquí,2026,1862,2903,1041
05,Antioquia,05004,Abriaquí,2027,1864,2919,1055
05,Antioquia,05004,Abriaquí,2028,1869,2936,1067
05,Antioquia,05004,Abriaquí,2029,1871,2951,1080
05,Antioquia,05004,Abriaquí,2030,1890,2967,1077
05,Antioquia,05004,Abriaquí,2031,1898,2983,1085
05,Antioquia,05004,Abriaquí,2032,1900,2989,1089
05,Antioquia,05004,Abriaquí,2033,1910,3008,1098
05,Antioquia,05004,Abriaquí,2034,1916,3009,1093
05,Antioquia,05004,Abriaquí,2035,1930,3021,1091
05,Antioquia,05021,Alejandría,2020,2103,4790,2687
05,Antioquia,05021,Alejandría,2021,2070,4845,2775
05,Antioquia,05021,Alejandría,2022,2044,4874,2830
05,Antioquia,05021,Alejandría,2023,2026,4912,2886
05,Antioquia,05021,Alejandría,2024,2023,4955,2932
05,Antioquia,05021,Alejandría,2025,2029,4989,2960
05,Antioquia,05021,Alejandría,2026,2020,5015,2995
05,Antioquia,05021,Alejandría,2027,2013,5047,3034
05,Antioquia,05021,Alejandría,2028,2029,5074,3045
05,Antioquia,05021,Alejandría,2029,2032,5098,3066
05,Antioquia,05021,Alejandría,2030,2031,5110,3079
05,Antioquia,05021,Alejandría,2031,2036,5136,3100
05,Antioquia,05021,Alejandría,2032,2061,5182,3121
05,Antioquia,05021,Alejandría,2033,2065,5186,3121
