cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_victimas,total_civiles,total_combatientes,lesionados_civiles,abandono_despojo,amenaza_intimidacion,ataque_mision_medica,confinamiento,desplazamiento_forzado,extorsion_asociada,pillaje,tortura
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1977,1,0,0,0,0,0,0,0,0,0,0,0,0
18,CAQUETA,18001,FLORENCIA,1978,8,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,1982,8,0,0,0,6,0,0,0,0,0,0,0,0
17,CALDAS,17001,MANIZALES,1991,6,4,4,0,0,0,1,0,0,0,0,0,0
25,CUNDINAMARCA,25754,SOACHA,1989,11,107,107,0,0,0,0,0,0,0,0,0,0
68,SANTANDER,68001,BUCARAMANGA,1998,12,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1976,2,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1978,2,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1978,2,0,0,0,0,0,0,0,0,0,0,0,0
68,SANTANDER,68001,BUCARAMANGA,1978,5,0,0,0,0,0,0,0,0,0,0,0,0
19,CAUCA,19001,POPAYAN,1978,6,1,0,1,1,0,0,0,0,0,0,0,0
23,CORDOBA,23555,PLANETA RICA,1978,8,1,1,0,50,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1979,5,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,1979,6,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,1981,7,4,4,0,14,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1981,10,1,1,0,1,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1984,4,0,0,0,9,0,0,0,0,0,0,0,0
66,RISARALDA,66170,DOSQUEBRADAS,1985,5,4,4,0,10,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1985,5,0,0,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1985,9,0,0,0,8,0,0,0,0,0,0,0,0
08,ATLANTICO,08001,BARRANQUILLA,1987,1,13,11,2,25,0,0,0,0,0,0,1,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1987,9,1,1,0,8,0,0,0,0,0,0,0,0
68,SANTANDER,68001,BUCARAMANGA,1989,10,3,3,0,7,0,0,0,0,0,0,0,0
