ano,actividad,sector,tipo_de_precios,cod_dpto,dpto_nombre,valor_agregado
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,91,Amazonas,114.17
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,05,Antioquia,4856.14
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,81,Arauca,469.03
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,08,Atlántico,280.73
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,11,Bogotá D.C.,11.01
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,13,Bolívar,883.15
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,15,Boyacá,1815.31
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,17,Caldas,957.79
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,18,Caquetá,397.46
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,85,Casanare,484.76
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,19,Cauca,1412.28
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,20,Cesar,1231.86
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,27,Chocó,551.34
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,23,Córdoba,1281.65
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,25,Cundinamarca,5589.25
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,94,Guainía,18.21
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,95,Guaviare,155.02
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,41,Huila,1611.27
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,44,La Guajira,425.99
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,47,Magdalena,1445.19
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,50,Meta,1058.31
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,52,Nariño,1481.29
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,54,Norte de Santander,1150.89
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,86,Putumayo,193.27
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,63,Quindío,718.47
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,66,Risaralda,677.06
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",12.27
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,68,Santander,3021.58
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,70,Sucre,456.69
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,73,Tolima,2299.26
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,76,Valle del Cauca,3439.32
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,97,Vaupés,7.0
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,99,Vichada,156.16
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,91,Amazonas,1.0
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,05,Antioquia,2628.17
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,81,Arauca,3239.8
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,08,Atlántico,35.79
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,11,Bogotá D.C.,235.69
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,13,Bolívar,562.7
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,15,Boyacá,445.2
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,17,Caldas,206.04
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,18,Caquetá,1.65
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,85,Casanare,5825.26
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,19,Cauca,103.13
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,20,Cesar,2859.02
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,27,Chocó,489.34
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,23,Córdoba,248.74
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,25,Cundinamarca,370.01
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,94,Guainía,27.82
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,95,Guaviare,2.91
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,41,Huila,1543.64
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,44,La Guajira,2912.68
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,47,Magdalena,14.51
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,50,Meta,2494.11
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,52,Nariño,68.39
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,54,Norte de Santander,259.88
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,86,Putumayo,331.07
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,63,Quindío,11.31
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,66,Risaralda,47.47
