COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,CANTIDAD_SUBVERSIVAS,COD_DPTO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
5,ANTIOQUIA,5001,MEDELLIN,1996.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,1998.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,1999.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2000.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2001.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2002.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2003.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2004.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2005.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2006.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2007.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2008.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2009.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2010.0,153.0,14.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2011.0,197.0,42.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2012.0,209.0,33.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2013.0,457.0,16.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2014.0,310.0,39.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2015.0,243.0,25.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2016.0,336.0,12.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2017.0,488.0,15.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2018.0,578.0,8.0,0.0,0.0,1.0,1.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2019.0,648.0,4.0,0.0,0.0,1.0,1.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2020.0,634.0,6.0,0.0,0.0,1.0,1.0,0.0
5,ANTIOQUIA,5001,MEDELLIN,2021.0,636.0,5.0,5.0,2549008.0,1.0,1.0,1.0
5,ANTIOQUIA,5001,MEDELLIN,2022.0,673.0,8.0,5.0,2572350.0,1.0,1.0,1.0
5,ANTIOQUIA,5001,MEDELLIN,2023.0,942.0,2.0,5.0,2595300.0,1.0,1.0,1.0
5,ANTIOQUIA,5001,MEDELLIN,2024.0,859.0,2.0,5.0,2616335.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2003.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2004.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2005.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2008.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2009.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2010.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2011.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2012.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2013.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2015.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2016.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2017.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2018.0,2.0,0.0,5.0,20367.0,1.0,1.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2019.0,5.0,0.0,5.0,20627.0,1.0,1.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2020.0,1.0,0.0,5.0,20823.0,1.0,1.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2021.0,3.0,0.0,5.0,20924.0,1.0,1.0,1.0
5,ANTIOQUIA,5002,ABEJORRAL,2022.0,5.0,0.0,5.0,21109.0,1.0,1.0,1.0
