cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,cobertura_2g,cobertura_3g,cobertura_4g,cobertura_lte,cobertura_5g
05,ANTIOQUIA,05001,MEDELLÍN,2015,1,1,0,1,0
05,ANTIOQUIA,05001,MEDELLÍN,2016,1,1,0,1,0
05,ANTIOQUIA,05001,MEDELLÍN,2017,1,1,0,1,0
05,ANTIOQUIA,05001,MEDELLÍN,2018,1,1,0,1,0
05,ANTIOQUIA,05001,MEDELLÍN,2019,1,1,0,1,0
05,ANTIOQUIA,05001,MEDELLÍN,2020,1,1,0,1,0
05,ANTIOQUIA,05001,MEDELLÍN,2021,1,1,1,1,0
05,ANTIOQUIA,05001,MEDELLÍN,2022,1,1,1,0,0
05,ANTIOQUIA,05001,MEDELLÍN,2023,1,1,1,0,0
05,ANTIOQUIA,05002,ABEJORRAL,2015,1,1,0,0,0
05,ANTIOQUIA,05002,ABEJORRAL,2016,1,1,0,0,0
05,ANTIOQUIA,05002,ABEJORRAL,2017,1,1,0,0,0
05,ANTIOQUIA,05002,ABEJORRAL,2018,1,1,0,1,0
05,ANTIOQUIA,05002,ABEJORRAL,2019,1,1,0,1,0
05,ANTIOQUIA,05002,ABEJORRAL,2020,1,1,0,1,0
05,ANTIOQUIA,05002,ABEJORRAL,2021,1,1,1,1,0
05,ANTIOQUIA,05002,ABEJORRAL,2022,1,1,1,0,0
05,ANTIOQUIA,05002,ABEJORRAL,2023,1,1,1,0,0
05,ANTIOQUIA,05004,ABRIAQUÍ,2015,1,1,0,0,0
05,ANTIOQUIA,05004,ABRIAQUÍ,2016,1,1,0,0,0
05,ANTIOQUIA,05004,ABRIAQUÍ,2017,1,1,0,0,0
05,ANTIOQUIA,05004,ABRIAQUÍ,2018,1,1,0,0,0
05,ANTIOQUIA,05004,ABRIAQUÍ,2019,1,1,0,1,0
05,ANTIOQUIA,05004,ABRIAQUÍ,2020,1,1,0,1,0
05,ANTIOQUIA,05004,ABRIAQUÍ,2021,1,1,1,1,0
05,ANTIOQUIA,05004,ABRIAQUÍ,2022,1,1,1,0,0
05,ANTIOQUIA,05004,ABRIAQUÍ,2023,1,1,1,0,0
05,ANTIOQUIA,05021,ALEJANDRÍA,2015,1,1,0,0,0
05,ANTIOQUIA,05021,ALEJANDRÍA,2016,1,1,0,1,0
05,ANTIOQUIA,05021,ALEJANDRÍA,2017,1,1,0,1,0
05,ANTIOQUIA,05021,ALEJANDRÍA,2018,1,1,0,1,0
05,ANTIOQUIA,05021,ALEJANDRÍA,2019,1,1,0,1,0
05,ANTIOQUIA,05021,ALEJANDRÍA,2020,1,1,0,1,0
05,ANTIOQUIA,05021,ALEJANDRÍA,2021,1,1,1,1,0
05,ANTIOQUIA,05021,ALEJANDRÍA,2022,1,1,1,0,0
05,ANTIOQUIA,05021,ALEJANDRÍA,2023,1,1,1,0,0
05,ANTIOQUIA,05030,AMAGÁ,2015,1,1,0,0,0
05,ANTIOQUIA,05030,AMAGÁ,2016,1,1,0,0,0
05,ANTIOQUIA,05030,AMAGÁ,2017,1,1,0,0,0
05,ANTIOQUIA,05030,AMAGÁ,2018,1,1,0,1,0
05,ANTIOQUIA,05030,AMAGÁ,2019,1,1,0,1,0
05,ANTIOQUIA,05030,AMAGÁ,2020,1,1,0,1,0
05,ANTIOQUIA,05030,AMAGÁ,2021,1,1,1,1,0
05,ANTIOQUIA,05030,AMAGÁ,2022,1,1,1,0,0
05,ANTIOQUIA,05030,AMAGÁ,2023,1,1,1,0,0
05,ANTIOQUIA,05031,AMALFI,2015,1,1,0,0,0
05,ANTIOQUIA,05031,AMALFI,2016,1,1,0,0,0
05,ANTIOQUIA,05031,AMALFI,2017,1,1,0,1,0
05,ANTIOQUIA,05031,AMALFI,2018,1,1,0,1,0
05,ANTIOQUIA,05031,AMALFI,2019,1,1,0,1,0
05,ANTIOQUIA,05031,AMALFI,2020,1,1,0,1,0
05,ANTIOQUIA,05031,AMALFI,2021,1,1,1,1,0
05,ANTIOQUIA,05031,AMALFI,2022,1,1,1,0,0
05,ANTIOQUIA,05031,AMALFI,2023,1,1,1,0,0
05,ANTIOQUIA,05034,ANDES,2015,1,1,0,1,0
05,ANTIOQUIA,05034,ANDES,2016,1,1,0,1,0
05,ANTIOQUIA,05034,ANDES,2017,1,1,0,1,0
05,ANTIOQUIA,05034,ANDES,2018,1,1,0,1,0
05,ANTIOQUIA,05034,ANDES,2019,1,1,0,1,0
05,ANTIOQUIA,05034,ANDES,2020,1,1,0,1,0
05,ANTIOQUIA,05034,ANDES,2021,1,1,1,1,0
05,ANTIOQUIA,05034,ANDES,2022,1,1,1,0,0
05,ANTIOQUIA,05034,ANDES,2023,1,1,1,0,0
05,ANTIOQUIA,05036,ANGELÓPOLIS,2015,1,1,0,1,0
05,ANTIOQUIA,05036,ANGELÓPOLIS,2016,1,1,0,1,0
05,ANTIOQUIA,05036,ANGELÓPOLIS,2017,1,1,0,1,0
05,ANTIOQUIA,05036,ANGELÓPOLIS,2018,1,1,0,1,0
05,ANTIOQUIA,05036,ANGELÓPOLIS,2019,1,1,0,1,0
05,ANTIOQUIA,05036,ANGELÓPOLIS,2020,1,1,0,1,0
05,ANTIOQUIA,05036,ANGELÓPOLIS,2021,1,1,1,1,0
