cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,total_cabecera,total_poblacion,total_rural
05,Antioquia,05001,Medellín,2020,2476569,2519592,43023
05,Antioquia,05001,Medellín,2021,2506656,2549008,42352
05,Antioquia,05001,Medellín,2022,2530398,2572350,41952
05,Antioquia,05001,Medellín,2023,2553621,2595300,41679
05,Antioquia,05001,Medellín,2024,2574994,2616335,41341
05,Antioquia,05001,Medellín,2025,2593542,2634570,41028
05,Antioquia,05001,Medellín,2026,2609841,2650662,40821
05,Antioquia,05001,Medellín,2027,2624783,2665474,40691
05,Antioquia,05001,Medellín,2028,2638734,2679376,40642
05,Antioquia,05001,Medellín,2029,2651875,2692600,40725
05,Antioquia,05001,Medellín,2030,2664474,2705382,40908
05,Antioquia,05001,Medellín,2031,2676581,2717720,41139
05,Antioquia,05001,Medellín,2032,2688112,2729504,41392
05,Antioquia,05001,Medellín,2033,2698987,2740613,41626
05,Antioquia,05001,Medellín,2034,2709188,2751052,41864
05,Antioquia,05001,Medellín,2035,2718758,2760854,42096
05,Antioquia,05002,Abejorral,2020,8119,20823,12704
05,Antioquia,05002,Abejorral,2021,8499,20924,12425
05,Antioquia,05002,Abejorral,2022,8799,21109,12310
05,Antioquia,05002,Abejorral,2023,9072,21297,12225
05,Antioquia,05002,Abejorral,2024,9248,21468,12220
05,Antioquia,05002,Abejorral,2025,9369,21622,12253
05,Antioquia,05002,Abejorral,2026,9499,21751,12252
05,Antioquia,05002,Abejorral,2027,9603,21877,12274
05,Antioquia,05002,Abejorral,2028,9679,21975,12296
05,Antioquia,05002,Abejorral,2029,9743,22094,12351
05,Antioquia,05002,Abejorral,2030,9798,22202,12404
05,Antioquia,05002,Abejorral,2031,9834,22295,12461
05,Antioquia,05002,Abejorral,2032,9880,22402,12522
05,Antioquia,05002,Abejorral,2033,9905,22491,12586
05,Antioquia,05002,Abejorral,2034,9925,22584,12659
05,Antioquia,05002,Abejorral,2035,9960,22665,12705
05,Antioquia,05004,Abriaquí,2020,859,2775,1916
05,Antioquia,05004,Abriaquí,2021,904,2777,1873
05,Antioquia,05004,Abriaquí,2022,948,2804,1856
05,Antioquia,05004,Abriaquí,2023,992,2841,1849
05,Antioquia,05004,Abriaquí,2024,999,2855,1856
05,Antioquia,05004,Abriaquí,2025,1029,2872,1843
05,Antioquia,05004,Abriaquí,2026,1041,2903,1862
05,Antioquia,05004,Abriaquí,2027,1055,2919,1864
05,Antioquia,05004,Abriaquí,2028,1067,2936,1869
05,Antioquia,05004,Abriaquí,2029,1080,2951,1871
05,Antioquia,05004,Abriaquí,2030,1077,2967,1890
05,Antioquia,05004,Abriaquí,2031,1085,2983,1898
05,Antioquia,05004,Abriaquí,2032,1089,2989,1900
05,Antioquia,05004,Abriaquí,2033,1098,3008,1910
05,Antioquia,05004,Abriaquí,2034,1093,3009,1916
05,Antioquia,05004,Abriaquí,2035,1091,3021,1930
05,Antioquia,05021,Alejandría,2020,2687,4790,2103
05,Antioquia,05021,Alejandría,2021,2775,4845,2070
05,Antioquia,05021,Alejandría,2022,2830,4874,2044
05,Antioquia,05021,Alejandría,2023,2886,4912,2026
05,Antioquia,05021,Alejandría,2024,2932,4955,2023
05,Antioquia,05021,Alejandría,2025,2960,4989,2029
05,Antioquia,05021,Alejandría,2026,2995,5015,2020
05,Antioquia,05021,Alejandría,2027,3034,5047,2013
05,Antioquia,05021,Alejandría,2028,3045,5074,2029
05,Antioquia,05021,Alejandría,2029,3066,5098,2032
05,Antioquia,05021,Alejandría,2030,3079,5110,2031
05,Antioquia,05021,Alejandría,2031,3100,5136,2036
05,Antioquia,05021,Alejandría,2032,3121,5182,2061
05,Antioquia,05021,Alejandría,2033,3121,5186,2065
05,Antioquia,05021,Alejandría,2034,3139,5218,2079
05,Antioquia,05021,Alejandría,2035,3144,5240,2096
05,Antioquia,05030,Amagá,2020,15233,31262,16029
05,Antioquia,05030,Amagá,2021,15807,31548,15741
05,Antioquia,05030,Amagá,2022,16246,31851,15605
05,Antioquia,05030,Amagá,2023,16636,32142,15506
05,Antioquia,05030,Amagá,2024,16924,32412,15488
05,Antioquia,05030,Amagá,2025,17156,32628,15472
05,Antioquia,05030,Amagá,2026,17358,32821,15463
05,Antioquia,05030,Amagá,2027,17515,33006,15491
05,Antioquia,05030,Amagá,2028,17667,33176,15509
05,Antioquia,05030,Amagá,2029,17791,33352,15561
05,Antioquia,05030,Amagá,2030,17870,33499,15629
05,Antioquia,05030,Amagá,2031,17939,33661,15722
05,Antioquia,05030,Amagá,2032,17987,33781,15794
05,Antioquia,05030,Amagá,2033,18043,33946,15903
05,Antioquia,05030,Amagá,2034,18101,34064,15963
05,Antioquia,05030,Amagá,2035,18163,34193,16030
05,Antioquia,05031,Amalfi,2020,15492,26876,11384
05,Antioquia,05031,Amalfi,2021,15951,27155,11204
05,Antioquia,05031,Amalfi,2022,16303,27398,11095
05,Antioquia,05031,Amalfi,2023,16624,27637,11013
05,Antioquia,05031,Amalfi,2024,16865,27846,10981
05,Antioquia,05031,Amalfi,2025,17098,28059,10961
05,Antioquia,05031,Amalfi,2026,17276,28227,10951
05,Antioquia,05031,Amalfi,2027,17432,28372,10940
05,Antioquia,05031,Amalfi,2028,17564,28537,10973
05,Antioquia,05031,Amalfi,2029,17655,28660,11005
05,Antioquia,05031,Amalfi,2030,17750,28815,11065
05,Antioquia,05031,Amalfi,2031,17819,28936,11117
05,Antioquia,05031,Amalfi,2032,17883,29055,11172
05,Antioquia,05031,Amalfi,2033,17948,29162,11214
05,Antioquia,05031,Amalfi,2034,18015,29284,11269
05,Antioquia,05031,Amalfi,2035,18048,29377,11329
05,Antioquia,05034,Andes,2020,21657,44614,22957
05,Antioquia,05034,Andes,2021,22444,44983,22539
05,Antioquia,05034,Andes,2022,23070,45394,22324
05,Antioquia,05034,Andes,2023,23621,45796,22175
05,Antioquia,05034,Andes,2024,24037,46183,22146
05,Antioquia,05034,Andes,2025,24343,46485,22142
05,Antioquia,05034,Andes,2026,24651,46783,22132
05,Antioquia,05034,Andes,2027,24890,47053,22163
05,Antioquia,05034,Andes,2028,25094,47298,22204
05,Antioquia,05034,Andes,2029,25262,47538,22276
05,Antioquia,05034,Andes,2030,25387,47764,22377
05,Antioquia,05034,Andes,2031,25482,47980,22498
05,Antioquia,05034,Andes,2032,25593,48201,22608
05,Antioquia,05034,Andes,2033,25672,48401,22729
05,Antioquia,05034,Andes,2034,25754,48589,22835
05,Antioquia,05034,Andes,2035,25829,48778,22949
05,Antioquia,05036,Angelópolis,2020,2364,5905,3541
05,Antioquia,05036,Angelópolis,2021,2477,5963,3486
05,Antioquia,05036,Angelópolis,2022,2554,6010,3456
05,Antioquia,05036,Angelópolis,2023,2640,6082,3442
05,Antioquia,05036,Angelópolis,2024,2675,6109,3434
05,Antioquia,05036,Angelópolis,2025,2738,6183,3445
05,Antioquia,05036,Angelópolis,2026,2761,6204,3443
05,Antioquia,05036,Angelópolis,2027,2791,6245,3454
05,Antioquia,05036,Angelópolis,2028,2824,6276,3452
05,Antioquia,05036,Angelópolis,2029,2835,6304,3469
05,Antioquia,05036,Angelópolis,2030,2855,6331,3476
05,Antioquia,05036,Angelópolis,2031,2869,6375,3506
05,Antioquia,05036,Angelópolis,2032,2885,6412,3527
05,Antioquia,05036,Angelópolis,2033,2893,6425,3532
05,Antioquia,05036,Angelópolis,2034,2883,6436,3553
05,Antioquia,05036,Angelópolis,2035,2887,6464,3577
05,Antioquia,05038,Angostura,2020,2700,11742,9042
05,Antioquia,05038,Angostura,2021,2953,11783,8830
05,Antioquia,05038,Angostura,2022,3152,11909,8757
05,Antioquia,05038,Angostura,2023,3311,12005,8694
05,Antioquia,05038,Angostura,2024,3385,12121,8736
05,Antioquia,05038,Angostura,2025,3439,12190,8751
05,Antioquia,05038,Angostura,2026,3484,12271,8787
05,Antioquia,05038,Angostura,2027,3533,12344,8811
05,Antioquia,05038,Angostura,2028,3567,12400,8833
05,Antioquia,05038,Angostura,2029,3601,12463,8862
05,Antioquia,05038,Angostura,2030,3603,12523,8920
