COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,PROMEDIO_EXTORSION,CANTIDAD_SUBVERSIVAS,PROMEDIO_SUBVERSIVAS,COD_DPTO,COD_DPTO-MPIO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
5,ANTIOQUIA,5001,MEDELLIN,2021,636.0,2.271428571428571,13.0,1.083333333333333,5,5001,2549008,1.0,1.0,1.0
5,ANTIOQUIA,5001,MEDELLIN,2022,673.0,2.420863309352518,10.0,1.25,5,5001,2572350,1.0,1.0,1.0
5,ANTIOQUIA,5001,MEDELLIN,2023,942.0,2.925465838509317,2.0,1.0,5,5001,2595300,1.0,1.0,1.0
5,ANTIOQUIA,5001,MEDELLIN,2024,859.0,2.853820598006644,4.0,1.0,5,5001,2616335,0.0,0.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2018,2.0,1.0,0.0,0.0,5,5002,20367,1.0,1.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2019,5.0,1.25,0.0,0.0,5,5002,20627,1.0,1.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2020,1.0,1.0,0.0,0.0,5,5002,20823,1.0,1.0,0.0
5,ANTIOQUIA,5002,ABEJORRAL,2021,3.0,1.0,0.0,0.0,5,5002,20924,1.0,1.0,1.0
5,ANTIOQUIA,5002,ABEJORRAL,2022,5.0,1.0,1.0,1.0,5,5002,21109,1.0,1.0,1.0
5,ANTIOQUIA,5002,ABEJORRAL,2024,4.0,1.0,0.0,0.0,5,5002,21468,0.0,0.0,0.0
5,ANTIOQUIA,5004,ABRIAQUI,2019,1.0,1.0,0.0,0.0,5,5004,2730,1.0,1.0,0.0
5,ANTIOQUIA,5021,ALEJANDRIA,2019,2.0,1.0,0.0,0.0,5,5021,4732,1.0,1.0,0.0
5,ANTIOQUIA,5021,ALEJANDRIA,2020,2.0,1.0,0.0,0.0,5,5021,4790,1.0,1.0,0.0
5,ANTIOQUIA,5021,ALEJANDRIA,2023,1.0,1.0,0.0,0.0,5,5021,4912,1.0,1.0,1.0
5,ANTIOQUIA,5030,AMAGA,2018,1.0,1.0,2.0,1.0,5,5030,30227,1.0,1.0,0.0
5,ANTIOQUIA,5030,AMAGA,2019,2.0,1.0,0.0,0.0,5,5030,30789,1.0,1.0,0.0
5,ANTIOQUIA,5030,AMAGA,2020,4.0,1.0,0.0,0.0,5,5030,31262,1.0,1.0,0.0
5,ANTIOQUIA,5030,AMAGA,2021,5.0,1.0,0.0,0.0,5,5030,31548,1.0,1.0,1.0
5,ANTIOQUIA,5030,AMAGA,2022,2.0,1.0,0.0,0.0,5,5030,31851,1.0,1.0,1.0
