cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,hectareas_coca
91,AMAZONAS,91263,EL ENCANTO (Cor. Departamental),2001,191.8
91,AMAZONAS,91405,LA CHORRERA (Cor. Departamental),2001,65.0
91,AMAZONAS,91407,LA PEDRERA (Cor. Departamental),2001,0.0
91,AMAZONAS,91430,LA VICTORIA (Pacoa) (Cor. Departamental),2001,0.0
91,AMAZONAS,91460,MIRITÍ-PARANÁ (Campoamor) (Cor. Departamental),2001,6.0
91,AMAZONAS,91530,PUERTO ALEGRÍA (Cor. Departamental),2001,212.3
91,AMAZONAS,91536,PUERTO ARICA (Cor. Departamental),2001,0.0
91,AMAZONAS,91669,SANTANDER (Araracuara) (Cor. Departamental),2001,33.0
05,ANTIOQUIA,05031,AMALFI,2001,36.6
05,ANTIOQUIA,05040,ANORÍ,2001,201.3
05,ANTIOQUIA,05045,APARTADÓ,2001,0.0
05,ANTIOQUIA,05055,ARGELIA,2001,0.0
05,ANTIOQUIA,05107,BRICEÑO,2001,24.2
05,ANTIOQUIA,05120,CÁCERES,2001,229.1
05,ANTIOQUIA,05134,CAMPAMENTO,2001,0.0
05,ANTIOQUIA,05142,CARACOLÍ,2001,0.0
05,ANTIOQUIA,05147,CAREPA,2001,0.0
05,ANTIOQUIA,05148,CARMEN DE VIBORAL,2001,0.0
05,ANTIOQUIA,05154,CAUCASIA,2001,95.1
05,ANTIOQUIA,05172,CHIGORODÓ,2001,0.0
05,ANTIOQUIA,05197,COCORNÁ,2001,0.0
05,ANTIOQUIA,05234,DABEIBA,2001,40.0
05,ANTIOQUIA,05250,EL BAGRE,2001,452.3
05,ANTIOQUIA,05284,FRONTINO,2001,1.0
05,ANTIOQUIA,05310,GÓMEZ PLATA,2001,25.0
05,ANTIOQUIA,05361,ITUANGO,2001,134.7
05,ANTIOQUIA,05425,MACEO,2001,8.0
05,ANTIOQUIA,05475,MURINDÓ,2001,0.0
05,ANTIOQUIA,05480,MUTATÁ,2001,1.0
05,ANTIOQUIA,05483,NARIÑO,2001,0.0
05,ANTIOQUIA,05495,NECHÍ,2001,15.7
05,ANTIOQUIA,05490,NECOCLÍ,2001,0.0
05,ANTIOQUIA,05579,PUERTO BERRÍO,2001,0.0
