cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_terrorismo
05,ANTIOQUIA,05001,MEDELLIN,2003,2,1
05,ANTIOQUIA,05001,MEDELLIN,2003,5,2
05,ANTIOQUIA,05001,MEDELLIN,2003,6,1
05,ANTIOQUIA,05001,MEDELLIN,2003,7,1
05,ANTIOQUIA,05001,MEDELLIN,2003,8,1
05,ANTIOQUIA,05001,MEDELLIN,2003,9,4
05,ANTIOQUIA,05001,MEDELLIN,2003,10,3
05,ANTIOQUIA,05001,MEDELLIN,2003,11,4
05,ANTIOQUIA,05001,MEDELLIN,2004,1,2
05,ANTIOQUIA,05001,MEDELLIN,2004,3,1
05,ANTIOQUIA,05001,MEDELLIN,2004,5,1
05,ANTIOQUIA,05001,MEDELLIN,2004,6,1
05,ANTIOQUIA,05001,MEDELLIN,2004,7,2
05,ANTIOQUIA,05001,MEDELLIN,2004,10,1
05,ANTIOQUIA,05001,MEDELLIN,2005,12,1
05,ANTIOQUIA,05001,MEDELLIN,2007,5,2
05,ANTIOQUIA,05001,MEDELLIN,2008,10,1
05,ANTIOQUIA,05001,MEDELLIN,2009,1,2
05,ANTIOQUIA,05001,MEDELLIN,2009,10,1
05,ANTIOQUIA,05001,MEDELLIN,2009,11,1
05,ANTIOQUIA,05001,MEDELLIN,2009,12,2
05,ANTIOQUIA,05001,MEDELLIN,2010,1,1
05,ANTIOQUIA,05001,MEDELLIN,2010,2,1
05,ANTIOQUIA,05001,MEDELLIN,2010,4,2
05,ANTIOQUIA,05001,MEDELLIN,2010,7,1
05,ANTIOQUIA,05001,MEDELLIN,2011,4,1
05,ANTIOQUIA,05001,MEDELLIN,2011,5,1
05,ANTIOQUIA,05001,MEDELLIN,2011,8,1
05,ANTIOQUIA,05001,MEDELLIN,2011,9,1
05,ANTIOQUIA,05001,MEDELLIN,2011,10,1
05,ANTIOQUIA,05001,MEDELLIN,2011,12,2
05,ANTIOQUIA,05001,MEDELLIN,2012,4,1
05,ANTIOQUIA,05001,MEDELLIN,2012,5,2
05,ANTIOQUIA,05001,MEDELLIN,2012,6,1
05,ANTIOQUIA,05001,MEDELLIN,2012,8,1
05,ANTIOQUIA,05001,MEDELLIN,2012,9,1
05,ANTIOQUIA,05001,MEDELLIN,2012,10,1
05,ANTIOQUIA,05001,MEDELLIN,2012,11,2
05,ANTIOQUIA,05001,MEDELLIN,2013,1,4
05,ANTIOQUIA,05001,MEDELLIN,2013,5,1
05,ANTIOQUIA,05001,MEDELLIN,2013,6,1
05,ANTIOQUIA,05001,MEDELLIN,2013,9,1
05,ANTIOQUIA,05001,MEDELLIN,2015,3,1
05,ANTIOQUIA,05001,MEDELLIN,2016,1,1
05,ANTIOQUIA,05001,MEDELLIN,2016,4,1
05,ANTIOQUIA,05001,MEDELLIN,2016,5,2
05,ANTIOQUIA,05001,MEDELLIN,2016,8,1
05,ANTIOQUIA,05001,MEDELLIN,2016,10,4
05,ANTIOQUIA,05001,MEDELLIN,2017,3,2
05,ANTIOQUIA,05001,MEDELLIN,2017,5,1
05,ANTIOQUIA,05001,MEDELLIN,2017,7,1
05,ANTIOQUIA,05001,MEDELLIN,2017,9,1
05,ANTIOQUIA,05001,MEDELLIN,2017,10,1
05,ANTIOQUIA,05001,MEDELLIN,2018,2,1
05,ANTIOQUIA,05001,MEDELLIN,2018,3,1
05,ANTIOQUIA,05001,MEDELLIN,2018,11,1
05,ANTIOQUIA,05001,MEDELLIN,2019,1,1
05,ANTIOQUIA,05001,MEDELLIN,2019,3,4
05,ANTIOQUIA,05001,MEDELLIN,2019,4,2
05,ANTIOQUIA,05001,MEDELLIN,2019,5,1
05,ANTIOQUIA,05001,MEDELLIN,2019,11,2
05,ANTIOQUIA,05001,MEDELLIN,2020,2,1
05,ANTIOQUIA,05001,MEDELLIN,2020,9,1
05,ANTIOQUIA,05001,MEDELLIN,2020,11,1
05,ANTIOQUIA,05001,MEDELLIN,2021,4,8
05,ANTIOQUIA,05001,MEDELLIN,2021,5,8
05,ANTIOQUIA,05001,MEDELLIN,2021,6,5
05,ANTIOQUIA,05001,MEDELLIN,2021,7,2
05,ANTIOQUIA,05001,MEDELLIN,2021,8,1
05,ANTIOQUIA,05001,MEDELLIN,2021,11,1
05,ANTIOQUIA,05001,MEDELLIN,2021,12,1
05,ANTIOQUIA,05001,MEDELLIN,2022,4,1
05,ANTIOQUIA,05001,MEDELLIN,2022,5,2
05,ANTIOQUIA,05001,MEDELLIN,2022,7,1
05,ANTIOQUIA,05001,MEDELLIN,2022,9,1
05,ANTIOQUIA,05001,MEDELLIN,2022,11,2
05,ANTIOQUIA,05001,MEDELLIN,2023,11,1
05,ANTIOQUIA,05001,MEDELLIN,2023,12,1
05,ANTIOQUIA,05001,MEDELLIN,2024,1,1
05,ANTIOQUIA,05001,MEDELLIN,2024,3,1
05,ANTIOQUIA,05001,MEDELLIN,2024,7,1
05,ANTIOQUIA,05001,MEDELLIN,2024,9,1
05,ANTIOQUIA,05001,MEDELLIN,2024,12,2
05,ANTIOQUIA,05001,MEDELLIN,2025,5,1
05,ANTIOQUIA,05001,MEDELLIN,2025,6,1
05,ANTIOQUIA,05001,MEDELLIN,2025,7,1
05,ANTIOQUIA,05001,MEDELLIN,2025,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2003,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2005,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2006,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2014,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2023,12,1
05,ANTIOQUIA,05004,ABRIAQUI,2005,2,1
05,ANTIOQUIA,05004,ABRIAQUI,2006,6,1
05,ANTIOQUIA,05004,ABRIAQUI,2021,4,1
05,ANTIOQUIA,05021,ALEJANDRIA,2003,4,1
05,ANTIOQUIA,05030,AMAGA,2018,1,1
05,ANTIOQUIA,05030,AMAGA,2020,4,1
05,ANTIOQUIA,05030,AMAGA,2021,12,1
05,ANTIOQUIA,05030,AMAGA,2022,5,2
05,ANTIOQUIA,05031,AMALFI,2003,6,1
05,ANTIOQUIA,05031,AMALFI,2013,12,1
05,ANTIOQUIA,05031,AMALFI,2023,12,1
05,ANTIOQUIA,05031,AMALFI,2024,2,1
05,ANTIOQUIA,05031,AMALFI,2024,10,1
05,ANTIOQUIA,05031,AMALFI,2025,9,2
05,ANTIOQUIA,05031,AMALFI,2025,10,1
05,ANTIOQUIA,05034,ANDES,2013,5,1
05,ANTIOQUIA,05034,ANDES,2016,3,2
05,ANTIOQUIA,05034,ANDES,2025,8,1
